summary,description,Security,Performance
test harness evaluates j9 2.2 jvm (a.k.a wctme5.7) as isJDBC4; does enthousiastic sed-ing,The wctme5.7 run shows failures like so:     Start: iepnegativetests jdk1.3.1 subset - 2.2 derbyall:derbytools 2006-07-24 11:41:43 ***16 del&lt; ERROR 38000: The exception 'java.sql.SQLException: Table/View 'IEP.NOTABLE' does not exist.' was thrown while evaluating an expression.16a16&gt; ERROR 38000: The exception 'SQL Exception: Table/View 'IEP.NOTABLE' does not exist.' was thrown while evaluating an expression....    It seems to me this is because it evaluates the major/minor version (2.2) as isJDBC4 in functionTests/harness/RunTest.java : JavaVersionHolder jvh = getProperties(sp); boolean isJDBC4 = jvh.atLeast( 1  6 );and is gets passed on to Sed.java.The following tests fail with this jvm because of this:lang/compressTable.sqllang/nestedCommit.sqllang/releaseCompileLocks.sqltools/iepnegativetests.sqltools/importExportThruIJ.sqltools/ieptests.sqljdbcapi/statementJdbc20.javai18n/iepnegativetests_ES.sqlstore/streamingColumn.javastore/TransactionTable.sqllang/procedureInTrigger.sqlIt seems to me we need an if (!jvmName.startsWith('j9')) or some such around the isJDBC4 assignment.,0,0
derbyrunjartest hangs with wctme5.7 & always uses j9_13; hangs with _foundation,derbyrunjartest hangs with wctme5.7.I am not sure what the hook up is but if I do this:j9 -jcl:max -Xbootclasspath/p:c:/wctme5.7/ive/lib/jclMax/classes.zip;c:/wctme5.7/ive/lib/charconv.zip;c:/wctme5.7/ive/lib/database_enabler.jar -jar c:/derbyt/svn2/trunk/jars/sane/derbyrun.jar ij --helpI get successfully:Usage: java org.apache.derby.tools.ij &#91;-p propertyfile&#93; [-ca connectionAttributePropertyFile] &#91;inputfile&#93;Also  when looking at the code of this test  it forces the jvm class to be used to be j9_13 whenever the jvm as set in RunTest starts with J9. However  wctme5.7 is j9_22 and this also prevents running with foundation (assuming that's supported).,0,1
new j9 canons required/canons need to be removed to catch up to changes to 7/27/06.,There are some newer failures with wctme5.7 &amp; wsdd5.6 that are just due to canon maintenance. lang/aggregate.sql - needs a new j9_13 and j9_22 canon lang/ejbql.sql - j9_13 canon can be removed (there is no j9_22 canon) lang/distinct.sql - needs new j9_22 canon nist/dml099.sql - j9_13 canon can be removed lang/procedureInTrigger.sql - needs a j9_22 canon note  this last test also suffers from DERBY-1605.,0,0
Test harness overrides heap size settings when starting Network Server,Test specific heap size settings can be passed to the test harness using the jvmflags system property  for example in a &lt;testname&gt;_app.properties file or at the command line when starting a test  e.g '-Djvmflags=-Xms32m^-Xmx32m'.The test harness almost always overrides such settings when starting a new Network Server using the org.apache.derbyTesting.functionTests.harness.NetServer class of the test harness. Currently  if either -ms or -Xms is missing from the jvmflags  NetServer.start() adds -ms16777216. Also  if either -mx or -Xmx is missing from the jvmflags  NetServer.start() adds -ms33554432. This has been the case since SVN revision 420048 (July 8  2006).Earlier revisions did not override the heap settings unless the newer -Xms or -Xmx flags were used instead of the -ms and -mx flags. A patch for DERBY-1091 attempted (among other things) to make the harness recognize the newer flags as well as the older flags  but the resulting behavior is (most likely) not as intended. If a test is run in either the DerbyNet framework or the DerbyNetClient framework  the test-specific JVM flags should (probably) be used for the Network Server JVM as well as the test JVM. Currently  even if non-default heap size flags are passed to the harness  the server JVM will ignore these settings since the harness adds -ms and/or -mx flags after all other heap flags. The exception is if both new and old versions of heap flags are passed to the harness  e.g:jvmflags=-ms32m^-Xms32m^-mx128m^-Xmx128mHere is the code causing this behaviour:if (setJvmFlags &amp;&amp; ((jvmflags.indexOf('-ms') == -1) || (jvmflags.indexOf('-Xms') == -1))) // only setMs if no starting memory was given jvm.setMs(16*1024*1024); // -ms16mif (setJvmFlags &amp;&amp; ((jvmflags.indexOf('-mx') == -1) || (jvmflags.indexOf('-Xmx') == -1))) // only setMx if no max memory was given jvm.setMx(32*1024*1024); // -mx32m,0,1
Lots of jdk1.6 regression test failures with diffs because of  SQL Exception instead of java.sql.SQLException,jdk16 derbyall derbyall: 19 failures derbyall/derbyall.fail:lang/compressTable.sql derbyall/derbyall.fail:lang/nestedCommit.sql derbyall/derbyall.fail:lang/outparams.java derbyall/derbyall.fail:lang/procedure.java derbyall/derbyall.fail:lang/procedureInTrigger.sql derbyall/derbyall.fail:tools/importExportThruIJ.sql derbyall/derbyall.fail:tools/ieptests.sql derbyall/derbyall.fail:tools/iepnegativetests.sql derbyall/derbyall.fail:jdbcapi/statementJdbc20.java derbyall/derbyall.fail:jdbcapi/statementJdbc30.java derbyall/derbyall.fail:jdbcapi/parameterMapping.java derbyall/derbyall.fail:i18n/iepnegativetests_ES.sql derbyall/derbynetclientmats/derbynetclientmats.fail:jdbc4/ClosedObjectTest.junit derbyall/derbynetclientmats/derbynetclientmats.fail:jdbc4/UnsupportedVetter.junit derbyall/derbynetclientmats/derbynetclientmats.fail:jdbc4/VerifySignatures.junit derbyall/encryptionAll/encryption.fail:stress/stress.multi derbyall/encryptionAll/storemats.fail:store/streamingColumn.java derbyall/storeall/storeall.fail:store/TransactionTable.sql derbyall/storeall/storemats.fail:store/streamingColumn.java,0,0
Sysinfo in 10.2  shows multiple entries if the derby jars reside in a directory with spaces in its name,For the Derby jars residing in C:/Documents and Settings/Administrator/TEMP DIR/lib  the sysinfo shows:--------- Derby Information --------JRE - JDBC: J2SE 5.0 - JDBC 3.0&#91;C:/Documents%20and%20Settings/Administrator/TEMP%20DIR/lib/derby.jar&#93; 10.2.0.5 alpha - (426734)&#91;C:/Documents%20and%20Settings/Administrator/TEMP%20DIR/lib/derbytools.jar&#93; 10.2.0.5 alpha - (426734)&#91;C:/Documents%20and%20Settings/Administrator/TEMP%20DIR/lib/derbynet.jar&#93; 10.2.0.5 alpha - (426734)&#91;C:/Documents%20and%20Settings/Administrator/TEMP%20DIR/lib/derbyclient.jar&#93; 10.2.0.5 alpha - (426734)&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/derby.jar&#93; 10.2.0.5 alpha - (426734)&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/derbynet.jar&#93; 10.2.0.5 alpha - (426734)&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/derbyclient.jar&#93; 10.2.0.5 alpha - (426734)&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/derbytools.jar&#93; 10.2.0.5 alpha - (426734)&#91;C:/Documents%20and%20Settings/Administrator/TEMP%20DIR/lib/db2jcc.jar&#93; 2.6 - (90)&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/db2jcc_license_c.jar&#93; 2.6 - (90)------------------------------------------------------This is a regression from 10.1 where the same sysinfo shows:--------- Derby Information --------JRE - JDBC: J2SE 5.0 - JDBC 3.0&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/derby.jar&#93; 10.1.3.2 - (426741)&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/derbynet.jar&#93; 10.1.3.2 - (426741)&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/derbyclient.jar&#93; 10.1.3.2 - (426741)&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/derbytools.jar&#93; 10.1.3.2 - (426741)&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/db2jcc.jar&#93; 2.6 - (90)&#91;C:/Documents and Settings/Administrator/TEMP DIR/lib/db2jcc_license_c.jar&#93; 2.6 - (90)------------------------------------------------------,0,0
Trigger action statement is not recompile when there is a change that would affect it.,A trigger action statement  such as an INSERT statement is not recompiled when there is some DDL change on the underlying table  such as a CREATE INDEX.In the example below a unique index is added to the table (t2) inserted into by the trigger's action statement. When the tirgger fires it does not raise any error (should raise a unique constraint violated error) and does not insert the value into the index. A select from t2 does not show the additional rows in t2 as it is performing an index scan  once the index is dropped the rows appear to the select.ij version 10.2ij&gt; connect 'jdbc:derby:cs;create=true';ij&gt; create table t (i int);0 rows inserted/updated/deletedij&gt; create table t2 (i int);0 rows inserted/updated/deletedij&gt; create trigger tt after insert on t for each statement mode db2sqlinsert into t2 values 1;0 rows inserted/updated/deletedij&gt; insert into t values 1;1 row inserted/updated/deletedij&gt; select * from t2;I-----------11 row selectedij&gt; create unique index tu on t2;0 rows inserted/updated/deletedij&gt; insert into t values 1;1 row inserted/updated/deletedij&gt; select * from t2;I-----------11 row selectedij&gt; insert into t values 1;1 row inserted/updated/deletedij&gt; select * from t2;I-----------11 row selectedij&gt; drop index tu;0 rows inserted/updated/deletedij&gt; select * from t2;I-----------1113 rows selected,0,0
NetConnection40 references an engine class  org.apache.derby.impl.jdbc.Util,NetConnection40.java contains this:...import org.apache.derby.impl.jdbc.Util;... public boolean isValid(int timeout) throws SQLException { // Validate that the timeout has a legal value if (timeout &lt; 0) { throw Util.generateCsSQLException(SQLState.INVALID_API_PARAMETER  new Integer(timeout)  'timeout'  'java.sql.Connection.isValid'); }...This was added as part of DERBY-1090. This should be changed to use the client's method of throwing exceptions.,0,0
A  'revoke execute ... restrict' should fail if there are dependent objects on the execute privilege,As per the functional spec attached to DERBY-1330  a 'revoke execute ... restrict' should fail if there are dependent objects on the execute privilegeIn order to implement this  when revoke execute is executed  a special invalidation action should be sent and dependent objects will need to catch that invalidation and throw an exception. If there are no dependents  then no exception will be thrown and revoke execute will succeed.I am just creating a new jira entry here so it is easier to track sub items of DERBY-1330. Will link this Jira entry to DERBY-1330. See the functional spec attached to DERBY-1330,1,0
NPE when inserting values to a table that has a column declared as generated by default as identity,The following scenario triggers a NullPointerException in statement compilation:ij&gt; create table t1 (c1 int  c2 int generated by default as identity);0 rows inserted/updated/deletedij&gt; insert into t1 (c2) values default  10;ERROR XJ001: Java exception: ': java.lang.NullPointerException'.Stacktrace from derby.log:Database Class Loader started - derby.database.classpath=''2006-08-04 06:31:17.235 GMT Thread&#91;main 5 main&#93; (XID = 235)  (SESSIONID = 0)  (DATABASE = wombat)  (DRDAID = null)  Cleanup action starting2006-08-04 06:31:17.235 GMT Thread&#91;main 5 main&#93; (XID = 235)  (SESSIONID = 0)  (DATABASE = wombat)  (DRDAID = null)  Failed Statement is: insert into t1 (c2) values default  10java.lang.NullPointerException at org.apache.derby.impl.sql.compile.ResultColumnList.generateCore(ResultColumnList.java:1033) at org.apache.derby.impl.sql.compile.ResultColumnList.generate(ResultColumnList.java:893) at org.apache.derby.impl.sql.compile.RowResultSetNode.generate(RowResultSetNode.java:690) at org.apache.derby.impl.sql.compile.UnionNode.generate(UnionNode.java:589) at org.apache.derby.impl.sql.compile.ProjectRestrictNode.generateMinion(ProjectRestrictNode.java:1424) at org.apache.derby.impl.sql.compile.ProjectRestrictNode.generate(ProjectRestrictNode.java:1286) at org.apache.derby.impl.sql.compile.NormalizeResultSetNode.generate(NormalizeResultSetNode.java:122) at org.apache.derby.impl.sql.compile.InsertNode.generate(InsertNode.java:764) at org.apache.derby.impl.sql.compile.StatementNode.generate(StatementNode.java:232) at org.apache.derby.impl.sql.GenericStatement.prepMinion(GenericStatement.java:477) at org.apache.derby.impl.sql.GenericStatement.prepare(GenericStatement.java:118) at org.apache.derby.impl.sql.conn.GenericLanguageConnectionContext.prepareInternalStatement(GenericLanguageConnectionContext.java:713) at org.apache.derby.impl.jdbc.EmbedStatement.execute(EmbedStatement.java:567) at org.apache.derby.impl.jdbc.EmbedStatement.execute(EmbedStatement.java:516) at org.apache.derby.impl.tools.ij.ij.executeImmediate(ij.java:313) at org.apache.derby.impl.tools.ij.utilMain.doCatch(utilMain.java:478) at org.apache.derby.impl.tools.ij.utilMain.runScriptGuts(utilMain.java:347) at org.apache.derby.impl.tools.ij.utilMain.go(utilMain.java:248) at org.apache.derby.impl.tools.ij.Main.go(Main.java:203) at org.apache.derby.impl.tools.ij.Main.mainCore(Main.java:169) at org.apache.derby.impl.tools.ij.Main14.main(Main14.java:55) at org.apache.derby.tools.ij.main(ij.java:69)sysinfo:------------------ Java Information ------------------Java Version: 1.4.2_12Java Vendor: Sun Microsystems Inc.Java home: C:/jdk142/jreJava classpath: classes;.OS name: Windows XPOS architecture: x86OS version: 5.1Java user name: yipJava user home: C:/Documents and Settings/AdministratorJava user dir: C:/derby/trunkjava.specification.name: Java Platform API Specificationjava.specification.version: 1.4--------- Derby Information --------JRE - JDBC: J2SE 1.4.2 - JDBC 3.0&#91;C:/derby/trunk/classes&#93; 10.2.0.5 alpha - (1)----------------------------------------------------------------------- Locale Information -----------------Current Locale : [English/United States &#91;en_US&#93;]Found support for locale: &#91;de_DE&#93; version: 10.2.0.5 alpha - (1)Found support for locale: &#91;es&#93; version: 10.2.0.5 alpha - (1)Found support for locale: &#91;fr&#93; version: 10.2.0.5 alpha - (1)Found support for locale: &#91;it&#93; version: 10.2.0.5 alpha - (1)Found support for locale: &#91;ja_JP&#93; version: 10.2.0.5 alpha - (1)Found support for locale: &#91;ko_KR&#93; version: 10.2.0.5 alpha - (1)Found support for locale: &#91;pt_BR&#93; version: 10.2.0.5 alpha - (1)Found support for locale: &#91;zh_CN&#93; version: 10.2.0.5 alpha - (1)Found support for locale: &#91;zh_TW&#93; version: 10.2.0.5 alpha - (1)------------------------------------------------------,0,0
Create index on large tables fails with too many open files   FileNotFoundException.,Create index fails on a table with 18million rows during sort with too many open files errorThis error was first seen when running against a tpcc-like test. The test creates the tables  inserts data and then creates the indexes &amp; adds constraints.Customer table has 18 million rows in this case. The below error is thrown on create index. ij&gt; create index customer_last on customer(c_w_id  c_d_id  c_last);ERROR XSDF1: Exception during creation of file /home/cloudtst/SinglePerf/testruns/scripts/dbtpcc/tmp/T1128794811044.tmp for containerERROR XJ001: Java exception: '/home/cloudtst/SinglePerf/testruns/scripts/dbtpcc/tmp/T1128794811044.tmp (Too many open files): java.io.FileNotFoundException'.ij,0,0
Network Server should not send to client that it supports EUSRIDPWD when running against Sun JVM,As part of ACCSECRD  if the server does not accept the security mechanism sent by the client  the server will send a list of security mechanism that it supports. Currently even when the server is running with sun jvm  it will still send EUSRIDPWD as a sec mec that it supports  which is incorrect. The server should test if it can support EUSRIDPWD dynamically and if it does  only then send EURRIDPWD as an option that it supports.see DRDAConnThread.writeACCSECRD(int),0,0
Regression (wrong results): Join predicate can be ignored for left-most child in a chain of nested unions.,If Derby chooses to do a join between two FromTables and the right table is a chain of UNIONs  then the optimizer may choose to push the join predicate (if provided) down into the UNION and to both children of every UNION in the chain. But if the predicate cannot be pushed to the children of any of the UNIONs (except the top-level one) the predicate can end up being ignored altogether with respect to that UNION's children. The result is that query execution can return rows that do not satisfy the predicate.This is a regression introduced in 10.1.2.4 and thus it affects 10.1.3 and 10.2. I came across this while tracing through code for DERBY-1633.,0,0
ConsistencyToken.hashCode() is not thread safe,If ConsistencyToken.hashCode() is run concurrently by different threads  some of the threads may see a partial result instead of the correct hash code. This is not a problem in the current code since all calls to that method are synchronized on a higher level  but it would be good to fix in case the method will be used differently in the future.,0,0
jdbcapi/blobclob4BLOB.java fails under DerbyNet framework with JCC 2.6,With JCC 2.6  the jdbcapi/blobclob4BLOB.java fails. The diff did not show anything alarming  so I am guessing itmay be a master update. The test passed fine with DerbyClient     Start: blobclob4BLOB jdk1.5.0_06 DerbyNet derbynetmats:jdbcapi 2006-08-11 23:29:48 ***466a467 474&gt; EXPECTED SQLSTATE(22018): Invalid character string format for type INTEGER.&gt; end clobTest54&gt; START: clobTest6&gt; EXPECTED SQLSTATE(null): Invalid position 0 or length 5&gt; EXPECTED SQLSTATE(null): Invalid position 1 or length -76&gt; EXPECTED SQLSTATE(null): Invalid position 1 or length -1&gt; EXPECTED SQLSTATE(null): Invalid position 0 or length 0&gt; FAIL &#8211; unexpected exception:java.lang.StringIndexOutOfBoundsException: String index out of range: -1468 475d475&lt; EXPECTED SQLSTATE(22018): Invalid character string format for type INTEGER.&lt; end clobTest54&lt; START: clobTest6&lt; EXPECTED SQLSTATE(null): Invalid position 0 or length 5&lt; EXPECTED SQLSTATE(null): Invalid position 1 or length -76&lt; EXPECTED SQLSTATE(null): Invalid position 1 or length -1&lt; EXPECTED SQLSTATE(null): Invalid position 0 or length 0&lt; FAIL &#8211; unexpected exception:java.lang.StringIndexOutOfBoundsException: String index out of range: -1775a776 782&gt; blobTest54 finished&gt; START: blobTest6&gt; EXPECTED SQLSTATE(null): Invalid position 0 or length 5&gt; EXPECTED SQLSTATE(null): Invalid position 1 or length -76&gt; EXPECTED SQLSTATE(null): Invalid position 1 or length -1&gt; EXPECTED SQLSTATE(null): Invalid position 0 or length 0&gt; FAIL &#8211; unexpected exception:java.lang.NegativeArraySizeException777 783d783&lt; blobTest54 finished&lt; START: blobTest6&lt; EXPECTED SQLSTATE(null): Invalid position 0 or length 5&lt; EXPECTED SQLSTATE(null): Invalid position 1 or length -76&lt; EXPECTED SQLSTATE(null): Invalid position 1 or length -1&lt; EXPECTED SQLSTATE(null): Invalid position 0 or length 0&lt; FAIL &#8211; unexpected exception:java.lang.NegativeArraySizeException789 del&lt; com.ibm.db2.jcc.c.SqlException: Operation 'CREATE TRIGGER' cannot be performed on object 'TESTBLOB' because there is an open ResultSet dependent on that object.789a789&gt; com.ibm.db2.jcc.a.SqlException: Operation 'CREATE TRIGGER' cannot be performed on object 'TESTBLOB' because there is an open ResultSet dependent on that object.Test Failed. End: blobclob4BLOB jdk1.5.0_06 DerbyNet derbynetmats:jdbcapi 2006-08-11 23:30:46 ***,0,0
Client driver does not use the query timeout value set using Statement.setQueryTimeout() for subsequent executions using the same statement object,I will attach a repro with more details.,0,0
derbynet/testProperties.java hangs,The testProperties.execCmd() is used to fork a JVM and not handle itsstreams. This will cause problems  as indicated by the javadoc for Process.'The parent process uses these streams to feed input to and get outputfrom the subprocess. Because some native platforms only provide limitedbuffer size for standard input and output streams  failure to promptlywrite the input stream or read the output stream of the subprocess maycause the subprocess to block  and even deadlock',0,1
testSecMec.java fails with JCC 2.6 and JCC 2.8,After the checkin for DERBY-528 testSecMec fails with JCC 2.6 and 2.8. My hope was to just wait until the masters were normalized with the conversion of this test to Junit  but I think that work has been deferred for a bit so I will look at the current test.I have had a problem with this test on my machine for sometime with DERBY-1114 like symptoms with all jvms and even with derbyclient. I need to investigate that or run on another machine to resolve this issue.,0,0
Add more tests for Statement.setQueryTimeout method,Currently  the following checks work as expected but it would be good to add them to regression tests: Add tests to check query timeout value is used by executeUpdate method. Existing test tests calls to execute and executeQuery. The following mail mentions query timeout limit should be applied for all executeXXX methods. http://www.nabble.com/Statement.setQueryTimeout-tf94429.html#a258410 Add tests for Statement and CallableStatement class. Existing test tests this method with PreparedStatement only. I found a difference in behaviour with client driver when using Statement class (DERBY-1692). So it may be good to add some tests for each statement class.,0,0
Deprecate scripts in frameworks directory,With revision 432159  new scripts to be added to the -bin distribution as a part of DERBY-1032 were added to the distributions and snapshots. The old frameworks scripts should be marked as deprecated where appropriate in the documentation  readme files  and release pages.,0,0
huge single insert statements fail with JVM error due to size of generated method,ERROR XBCM1: Java linkage error thrown during load of generated class org.apache.derby.exe.ace5214067x010dx1c21xe385x00000011be005.ERROR XJ001: Java exception: 'Invalid method Code length 68686 in class file org/apache/derby/exe/ace5214067x010dx1c21xe385x00000011be005: java.lang.ClassFormatError'.The above occurred when doing an insert statement using the mutiple row syntax 'INSERT INTO foo (...) VALUES (...)  (...) ...' for huge amounts of input data. I was able to insert 500 rows at once  but it balked at 1000.Workaround: chunk one huge insert into several merely big inserts before sending them to Derby.,0,0
Invoking Java stored procedure that contains GRANT or REVOKE statement with CONTAINS SQL should fail.,In Derby SQL authorization mode  invoking Java stored procedure that contains GRANT or REVOKE statement with CONTAINS SQL from a trigger should fail but in the following test  it successfully executed the trigger action. Attaching repro patch for trunk.i.e.:ij&gt; connect 'triggerProcSQLAuth;create=true' user 'APP' as app;WARNING 01J14: SQL authorization is being used without first enabling authentication.ij&gt; &#8212; setup the environment&#8212; table used in the procedurescreate table t1 (i int primary key  b char(15));0 rows inserted/updated/deletedij&gt; insert into t1 values (1  'XYZ');1 row inserted/updated/deletedij&gt; insert into t1 values (2  'XYZ');1 row inserted/updated/deletedij&gt; &#8212; table used in this testcreate table t2 (x integer  y integer);0 rows inserted/updated/deletedij&gt; create procedure grant_select_proc()  parameter style java dynamic result sets 0 language java  contains sql external name 'org.apache.derbyTesting.functionTests.util.ProcedureTest.grantSelect';0 rows inserted/updated/deletedij&gt; create procedure revoke_select_proc()  parameter style java dynamic result sets 0 language java  contains sql external name 'org.apache.derbyTesting.functionTests.util.ProcedureTest.revokeSelect';0 rows inserted/updated/deletedij&gt; &#8212; testscreate trigger grant_select_trig AFTER delete on t1  for each STATEMENT mode db2sql call grant_select_proc();0 rows inserted/updated/deletedij&gt; &#8212; should faildelete from t1 where i = 1;1 row inserted/updated/deletedij&gt; &#8212; check delete failedselect * from t1;I |B ---------------------------2 |XYZ 1 row selectedij&gt; &#8212; check if there are rows in sys.systableperms  should be 0select count from SYS.SYSTABLEPERMS;1 -----------1 1 row selectedij&gt; drop trigger grant_select_trig;0 rows inserted/updated/deletedij&gt; create trigger revoke_select_trig AFTER delete on t1  for each STATEMENT mode db2sql call revoke_select_proc();0 rows inserted/updated/deletedij&gt; &#8212; should faildelete from t1 where i = 2;1 row inserted/updated/deletedij&gt; &#8212; check delete failedselect * from t1;I |B ---------------------------0 rows selectedij&gt; &#8212; check if there are rows in sys.systableperms  should be 0select count from SYS.SYSTABLEPERMS;1 -----------0 1 row selectedij&gt; drop trigger revoke_select_trig;0 rows inserted/updated/deletedij&gt; ------------------ Java Information ------------------Java Version: 1.4.2_12Java Vendor: Sun Microsystems Inc.Java home: C:/Program Files/Java/j2re1.4.2_12Java classpath: derby.jar;derbytools.jarOS name: Windows XPOS architecture: x86OS version: 5.1Java user name: YipJava user home: C:/Documents and Settings/YipJava user dir: C:/work3/derby/trunk/jars/sanejava.specification.name: Java Platform API Specificationjava.specification.version: 1.4--------- Derby Information --------JRE - JDBC: J2SE 1.4.2 - JDBC 3.0&#91;C:/work3/derby/trunk/jars/sane/derby.jar&#93; 10.3.0.0 alpha - (432670M)&#91;C:/work3/derby/trunk/jars/sane/derbytools.jar&#93; 10.3.0.0 alpha - (432670M)----------------------------------------------------------------------- Locale Information -----------------Current Locale : [English/United States &#91;en_US&#93;]Found support for locale: &#91;de_DE&#93; version: 10.3.0.0 alpha - (432670M)Found support for locale: &#91;es&#93; version: 10.3.0.0 alpha - (432670M)Found support for locale: &#91;fr&#93; version: 10.3.0.0 alpha - (432670M)Found support for locale: &#91;it&#93; version: 10.3.0.0 alpha - (432670M)Found support for locale: &#91;ja_JP&#93; version: 10.3.0.0 alpha - (432670M)Found support for locale: &#91;ko_KR&#93; version: 10.3.0.0 alpha - (432670M)Found support for locale: &#91;pt_BR&#93; version: 10.3.0.0 alpha - (432670M)Found support for locale: &#91;zh_CN&#93; version: 10.3.0.0 alpha - (432670M)Found support for locale: &#91;zh_TW&#93; version: 10.3.0.0 alpha - (432670M)------------------------------------------------------,1,0
Manifest file doesn't contain OSGi attributes,With osgi.jar in tools/java  'ant buildjars' does not add the OSGi attributes to derby.jar's manifest. Instead  a file named ${manifest.file} is created in the root of the source tree. This file contains what should have been in the manifest  for instance:Manifest-Version: 1.0Ant-Version: Apache Ant 1.6.5Created-By: diablo-1.5.0_07-b00 (Sun Microsystems Inc.)Bundle-Activator: org.apache.derby.osgi.EmbeddedActivatorDynamicImport-Package: *Export-Package: org.apache.derby.authentication org.apache.derby.datab ase org.apache.derby.io org.apache.derby.jdbc org.apache.derby.vtiThis seems to be caused by build.xml containing a reference to '${manifest.file}' at a location where manifest.file is not bound to a value. The attached patch (manifest.diff) fixes the issue by replacing '${manifest.file}' with '${derby.jar.dir}/lists/smf.mf'.,0,0
The language and store systems treat a JVM error such as OutOfMemoryError differently leading to the raw store protocol violation errors,Don't have the exact details  but remember noticing it a while ago. I think the store transaction context closes the transaction on such an error  while the language conneciton context just rollsback the transaction or the statement. I think the best and consistent approach would be to close the connection.,0,0
derbynet/testSecMec.java fails with NullPointerException (intermittent failure),http://www.multinet.no/~solberg/public/Apache/TinderBox_Derby/testlog/SunOS-5.10_i86pc-i386/433374-derbyall_diff.txt                 Diff file derbyall/derbynetclientmats/DerbyNetClient/derbynetmats/derbynetmats/testSecMec.diff             Start: testSecMec jdk1.5.0_04 DerbyNetClient derbynetmats:derbynetmats 2006-08-22 01:45:28 ***61a62 63&gt; java.sql.SQLException: No current connection.&gt; Exception in thread 'DRDAConnThread_15' java.lang.NullPointerExceptionTest Failed. End: testSecMec jdk1.5.0_04 DerbyNetClient derbynetmats:derbynetmats 2006-08-22 01:46:05 ***    Detailed log:Test USRSSBPWD_with_BUILTIN - derby.drda.securityMechanism=nullTurning ON Derby BUILTIN authenticationUSRSSBPWD (T0): jdbc:derby://localhost:20000/wombat;user=neelima;password=lee;shutdown=true;securityMechanism=8 - EXCEPTION DERBY SQL error: SQLCODE: -1  SQLSTATE: 08006  SQLERRMC: Database 'wombat' shutdown.java.sql.SQLException: No current connection. at org.apache.derby.impl.jdbc.SQLExceptionFactory.getSQLException(Unknown Source) at org.apache.derby.impl.jdbc.Util.newEmbedSQLException(Unknown Source) at org.apache.derby.impl.jdbc.Util.newEmbedSQLException(Unknown Source) at org.apache.derby.impl.jdbc.Util.noCurrentConnection(Unknown Source) at org.apache.derby.impl.jdbc.EmbedConnection.checkIfClosed(Unknown Source) at org.apache.derby.impl.jdbc.EmbedConnection.setupContextStack(Unknown Source) at org.apache.derby.impl.jdbc.EmbedConnection.rollback(Unknown Source) at org.apache.derby.impl.drda.Database.close(Unknown Source) at org.apache.derby.impl.drda.Session.close(Unknown Source) at org.apache.derby.impl.drda.DRDAConnThread.closeSession(Unknown Source) at org.apache.derby.impl.drda.DRDAConnThread.run(Unknown Source)Exception in thread 'DRDAConnThread_15' java.lang.NullPointerException at java.lang.Throwable.printStackTrace(Throwable.java:509) at org.apache.derby.impl.drda.DRDAProtocolException.&lt;init&gt;(Unknown Source) at org.apache.derby.impl.drda.DRDAProtocolException.newAgentError(Unknown Source) at org.apache.derby.impl.drda.DRDAConnThread.sendUnexpectedException(Unknown Source) at org.apache.derby.impl.drda.DRDAConnThread.closeSession(Unknown Source) at org.apache.derby.impl.drda.DRDAConnThread.run(Unknown Source),0,0
Implement Bracketed SQL comments (/*...*/ comments),Hibernate use multiline sql statements to show the internal building of the hql statements. You can disable this feature  but it would be nice if you can implements bracketed SQL comments in Derby.Thanks.,0,0
